llatitude,longitude,llatitude_utm,longitude_utm
35.9137177,128.8036813,482286.9977,3974396.354
35.9137207,128.8036786,482286.7548,3974396.687
35.9137232,128.8036746,482286.3944,3974396.965
35.9137259,128.8036705,482286.0251,3974397.265
35.9137286,128.8036666,482285.6738,3974397.566
35.9137317,128.8036626,482285.3136,3974397.91
35.9137346,128.8036589,482284.9804,3974398.233
35.9137375,128.803655,482284.6292,3974398.555
35.9137404,128.803651,482284.2689,3974398.877
35.9137433,128.8036471,482283.9177,3974399.2
35.9137462,128.8036433,482283.5755,3974399.522
35.913749,128.8036395,482283.2333,3974399.833
35.9137519,128.8036357,482282.891,3974400.156
35.9137547,128.8036318,482282.5398,3974400.467
35.9137576,128.803628,482282.1976,3974400.789
35.9137604,128.8036242,482281.8553,3974401.1
35.9137631,128.8036203,482281.5041,3974401.401
35.913766,128.8036167,482281.1799,3974401.723
35.9137688,128.8036127,482280.8196,3974402.034
35.9137717,128.8036089,482280.4774,3974402.356
35.9137746,128.8036052,482280.1442,3974402.679
35.9137778,128.8036017,482279.8291,3974403.034
35.9137811,128.8035986,482279.5502,3974403.401
35.913785,128.8035965,482279.3616,3974403.834
35.9137892,128.8035947,482279.2001,3974404.3
35.9137935,128.803593,482279.0477,3974404.777
35.9137977,128.8035914,482278.9043,3974405.243
35.9138019,128.8035908,482278.8511,3974405.709
35.9138062,128.8035912,482278.8881,3974406.186
35.9138106,128.803592,482278.9613,3974406.674
35.913815,128.8035932,482279.0705,3974407.162
35.9138189,128.8035952,482279.2518,3974407.594
35.9138225,128.8035977,482279.4782,3974407.993
35.9138263,128.8035989,482279.5873,3974408.414
35.9138302,128.8035994,482279.6333,3974408.847
35.9138339,128.8035989,482279.589,3974409.257
35.9138377,128.8035975,482279.4636,3974409.679
35.9138407,128.8035948,482279.2206,3974410.012
35.9138436,128.8035918,482278.9506,3974410.334
35.9138467,128.8035888,482278.6806,3974410.679
35.9138499,128.8035849,482278.3294,3974411.034
35.9138531,128.8035814,482278.0144,3974411.39
35.9138561,128.8035776,482277.6722,3974411.723
35.9138591,128.8035739,482277.339,3974412.057
35.913862,128.8035703,482277.0148,3974412.379
35.913865,128.8035667,482276.6907,3974412.712
35.9138678,128.803563,482276.3575,3974413.024
35.9138708,128.8035591,482276.0063,3974413.357
35.9138738,128.8035552,482275.6551,3974413.69
35.9138769,128.8035512,482275.2948,3974414.035
35.91388,128.8035474,482274.9527,3974414.38
35.9138827,128.8035433,482274.5834,3974414.68
35.9138851,128.8035391,482274.2049,3974414.947
35.9138873,128.8035347,482273.8084,3974415.192
35.9138893,128.8035303,482273.4119,3974415.414
35.9138911,128.8035258,482273.0063,3974415.615
35.9138929,128.8035212,482272.5916,3974415.815
35.9138943,128.8035166,482272.1769,3974415.971
35.9138953,128.8035117,482271.735,3974416.083
35.9138963,128.8035067,482271.2841,3974416.195
35.9138967,128.8035017,482270.8331,3974416.24
35.9138968,128.8034969,482270.4,3974416.252
35.9138969,128.8035014,482270.8061,3974416.262
35.9138973,128.8035062,482271.2392,3974416.306
35.913898,128.8035107,482271.6454,3974416.383
35.9138994,128.8035152,482272.0517,3974416.537
35.9139012,128.8035191,482272.404,3974416.736
35.9139034,128.803523,482272.7564,3974416.979
35.9139061,128.8035264,482273.0638,3974417.278
35.9139091,128.8035295,482273.3441,3974417.61
35.9139123,128.8035325,482273.6155,3974417.965
35.9139151,128.8035353,482273.8688,3974418.275
35.9139182,128.8035385,482274.1582,3974418.618
35.9139211,128.8035415,482274.4295,3974418.939
35.9139239,128.8035445,482274.7008,3974419.249
35.913927,128.8035479,482275.0083,3974419.592
35.91393,128.8035509,482275.2796,3974419.925
35.9139329,128.8035539,482275.5509,3974420.246
35.913936,128.8035571,482275.8404,3974420.589
35.9139388,128.8035601,482276.1117,3974420.899
35.9139418,128.8035633,482276.4011,3974421.231
35.9139448,128.8035666,482276.6995,3974421.563
35.9139415,128.803563,482276.3739,3974421.198
35.9139387,128.8035601,482276.1116,3974420.888
35.9139352,128.8035565,482275.786,3974420.5
35.9139324,128.8035535,482275.5147,3974420.19
35.913929,128.8035502,482275.2162,3974419.814
35.9139261,128.8035472,482274.9449,3974419.493
35.9139229,128.8035439,482274.6465,3974419.138
35.9139196,128.8035405,482274.339,3974418.773
35.9139163,128.8035371,482274.0315,3974418.408
35.913913,128.8035337,482273.7239,3974418.042
35.9139103,128.8035298,482273.3715,3974417.743
35.9139083,128.8035253,482272.965,3974417.522
35.913907,128.8035204,482272.5226,3974417.379
35.9139065,128.8035154,482272.0714,3974417.325
35.9139068,128.8035103,482271.6113,3974417.359
35.9139079,128.8035052,482271.1514,3974417.482
35.9139098,128.8035004,482270.7187,3974417.693
35.9139123,128.803496,482270.3223,3974417.971
35.9139154,128.8034923,482269.9891,3974418.316
